"complaint_text","priority"
"CSRF attacks overwhelming application","High"
"Sophisticated zero-day attacks bypassing payment gateway","High"
"Multiple ransomware attacks causing revenue loss","High"
"Repeated ransomware attacks on API system","High"
"major brute force attacks compromising firewall","High"
"Continuous ransomware attacks affecting server","High"
"Repeated brute force attacks on user portal system","High"
"Coordinated DDoS attacks on API","High"
"Experiencing critical zero-day attacks on virtual machines","High"
"Experiencing critical zero-day attacks on cloud infrastructure","High"
"Coordinated DDoS attacks on web service","High"
"malware attacks overwhelming microservices","High"
"SQL injection attacks detected targeting file storage","High"
"Multiple SQL injection attacks causing data corruption","High"
"Sophisticated CSRF attacks bypassing CDN","High"
"Continuous malware attacks affecting load balancer","High"
"Multiple botnet attacks causing data corruption","High"
"Continuous XSS attacks affecting mail server","High"
"SQL injection attacks detected targeting load balancer","High"
"DDoS attacks detected targeting admin panel","High"
"Continuous DDoS attacks affecting firewall","High"
"Sophisticated botnet attacks bypassing containers","High"
"Sophisticated malware attacks bypassing file storage","High"
"Experiencing critical ransomware attacks on cloud infrastructure","High"
"phishing attacks overwhelming payment gateway","High"
"Persistent XSS attacks detected in server","High"
"Coordinated SQL injection attacks on cloud infrastructure","High"
"ransomware attacks detected targeting CDN","High"
"Coordinated zero-day attacks on authentication system","High"
"phishing attacks detected targeting admin panel","High"
"Multiple botnet attacks causing security breach","High"
"Continuous botnet attacks affecting network","High"
"Repeated zero-day attacks on network system","High"
"Experiencing serious phishing attacks on backup system","High"
"Persistent ransomware attacks detected in payment gateway","High"
"Sophisticated SQL injection attacks bypassing network","High"
"Experiencing severe malware attacks on payment gateway","High"
"Continuous zero-day attacks affecting application","High"
"Coordinated botnet attacks on API","High"
"phishing attacks detected targeting virtual machines","High"
"Sophisticated brute force attacks bypassing cloud infrastructure","High"
"Sophisticated ransomware attacks bypassing file storage","High"
"Persistent zero-day attacks detected in server","High"
"serious XSS attacks compromising payment gateway","High"
"Continuous XSS attacks affecting admin panel","High"
"serious SQL injection attacks compromising authentication system","High"
"CSRF attacks overwhelming user portal","High"
"Experiencing critical ransomware attacks on user portal","High"
"botnet attacks overwhelming database","High"
"Sophisticated ransomware attacks bypassing file storage","High"
"Coordinated DDoS attacks on CDN","High"
"Persistent DDoS attacks detected in virtual machines","High"
"Coordinated ransomware attacks on virtual machines","High"
"serious CSRF attacks compromising virtual machines","High"
"Experiencing critical DDoS attacks on backup system","High"
"ransomware attacks overwhelming server","High"
"significant XSS attacks compromising authentication system","High"
"Coordinated ransomware attacks on mail server","High"
"Persistent XSS attacks detected in admin panel","High"
"botnet attacks overwhelming file storage","High"
"serious zero-day attacks compromising CDN","High"
"Sophisticated brute force attacks bypassing backup system","High"
"Experiencing critical SQL injection attacks on network","High"
"CSRF attacks overwhelming load balancer","High"
"Repeated SQL injection attacks on authentication system system","High"
"Experiencing critical CSRF attacks on cloud infrastructure","High"
"botnet attacks detected targeting load balancer","High"
"Persistent SQL injection attacks detected in network","High"
"Sophisticated XSS attacks bypassing API","High"
"Repeated malware attacks on containers system","High"
"Coordinated zero-day attacks on network","High"
"Persistent SQL injection attacks detected in database","High"
"Persistent phishing attacks detected in cloud infrastructure","High"
"Persistent phishing attacks detected in firewall","High"
"Sophisticated ransomware attacks bypassing file storage","High"
"zero-day attacks overwhelming network","High"
"Sophisticated CSRF attacks bypassing authentication system","High"
"Coordinated CSRF attacks on user portal","High"
"SQL injection attacks overwhelming application","High"
"Experiencing significant botnet attacks on user portal","High"
"Experiencing critical SQL injection attacks on network","High"
"Sophisticated SQL injection attacks bypassing backup system","High"
"Repeated XSS attacks on mail server system","High"
"Sophisticated SQL injection attacks bypassing cloud infrastructure","High"
"Multiple DDoS attacks causing service outage","High"
"Sophisticated SQL injection attacks bypassing cloud infrastructure","High"
"Experiencing serious CSRF attacks on database","High"
"Sophisticated ransomware attacks bypassing cloud infrastructure","High"
"SQL injection attacks detected targeting web service","High"
"ransomware attacks overwhelming mail server","High"
"Sophisticated zero-day attacks bypassing application","High"
"Sophisticated DDoS attacks bypassing server","High"
"Multiple zero-day attacks causing service outage","High"
"Persistent DDoS attacks detected in CDN","High"
"Multiple SQL injection attacks causing security breach","High"
"Continuous XSS attacks affecting file storage","High"
"Multiple ransomware attacks causing service outage","High"
"Persistent botnet attacks detected in virtual machines","High"
"Sophisticated botnet attacks bypassing authentication system","High"
"Coordinated SQL injection attacks on firewall","High"
"Continuous XSS attacks affecting cloud infrastructure","High"
"Experiencing critical SQL injection attacks on containers","High"
"Experiencing serious phishing attacks on user portal","High"
"botnet attacks detected targeting authentication system","High"
"zero-day attacks detected targeting firewall","High"
"brute force attacks overwhelming network","High"
"malware attacks detected targeting admin panel","High"
"serious SQL injection attacks compromising authentication system","High"
"Multiple brute force attacks causing service outage","High"
"Experiencing major phishing attacks on mail server","High"
"Repeated DDoS attacks on database system","High"
"zero-day attacks overwhelming admin panel","High"
"Persistent botnet attacks detected in mail server","High"
"Repeated SQL injection attacks on file storage system","High"
"phishing attacks detected targeting CDN","High"
"Continuous malware attacks affecting server","High"
"Multiple phishing attacks causing downtime","High"
"Persistent ransomware attacks detected in application","High"
"Sophisticated XSS attacks bypassing server","High"
"malware attacks overwhelming backup system","High"
"XSS attacks overwhelming mail server","High"
"SQL injection attacks overwhelming virtual machines","High"
"Repeated brute force attacks on user portal system","High"
"Continuous ransomware attacks affecting server","High"
"SQL injection attacks overwhelming containers","High"
"ransomware attacks detected targeting virtual machines","High"
"Experiencing major DDoS attacks on file storage","High"
